duration,protocol_type,service,src_bytes,dst_bytes,flag,wrong_fragment,hot,failed_logins,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,label
0.0598,0,0,65.4627,8.1842,1,1.0,0.0,0.0,321,285,0.9824,0.0822,45,0.2892,1
0.3376,0,0,83.797,8.14,1,1.0,0.0,0.0,331,320,0.9764,0.0219,33,0.1392,1
30.3179,0,3,1788.2319,4638.319,0,0.0,0.0,0.0,15,10,0.975,0.0118,163,0.7292,0
0.4406,0,0,25.0289,0.5258,1,0.0,0.0,0.0,295,317,0.9426,0.0451,45,0.1263,1
0.331,1,2,13.6894,5.2852,1,0.0,0.0,0.0,133,13,0.2244,0.7973,11,0.1574,2
0.1432,0,5,18.791,8.0625,1,0.0,0.0,0.0,343,243,0.9583,0.0923,32,0.1766,1
4.8108,0,3,1349.8661,5926.7299,0,0.0,0.0,0.0,12,8,0.9747,0.0149,128,0.986,0
19.9982,0,0,122.6797,2413.6562,0,0.0,0.0,0.0,17,9,0.8421,0.0159,199,0.8256,0
1.0096,1,1,36.4677,14.4405,1,0.0,0.0,0.0,219,1,0.0846,0.7571,19,0.0366,2
0.2171,0,0,20.303,9.3769,1,0.0,0.0,0.0,289,401,0.9156,0.0192,44,0.3314,1
1.6597,0,0,519.3044,3841.3962,0,0.0,0.0,0.0,14,5,0.941,0.0426,186,0.7115,0
0.2729,0,0,54.7872,9.2364,1,0.0,0.0,0.0,474,233,0.8967,0.0219,40,0.1893,1
0.394,0,5,29.9281,0.2472,2,0.0,0.0,0.0,466,415,0.8823,0.0154,28,0.1219,1
0.8083,2,5,41.748,13.2638,2,0.0,0.0,0.0,238,11,0.0701,0.8674,12,0.1055,2
0.2393,1,5,26.4704,4.0703,2,0.0,0.0,0.0,194,3,0.1234,0.7821,11,0.047,2
0.7893,0,0,50.2743,20.1521,2,0.0,0.0,0.0,199,9,0.1985,0.8564,12,0.0609,2
1.5215,0,2,294.467,536.9595,0,0.0,5.0,7.0,86,119,0.912,0.0777,60,0.7189,3
0.3379,0,3,2.6644,30.1913,1,0.0,0.0,0.0,96,5,0.1542,0.9484,18,0.1789,2
0.1371,1,0,37.7043,2.6456,1,0.0,0.0,0.0,324,206,0.9988,0.0354,4,0.1097,1
0.1758,0,3,301.8187,6.6401,1,0.0,0.0,0.0,449,353,0.9198,0.0428,47,0.2833,1
0.3112,0,3,8.6349,5.7426,1,0.0,0.0,0.0,444,271,0.9044,0.0734,1,0.1876,1
0.3884,1,5,44.5368,13.039,0,0.0,0.0,0.0,136,10,0.2247,0.8595,4,0.0802,2
9.6932,0,2,231.0066,231.3747,2,0.0,4.0,6.0,147,120,0.894,0.0917,44,0.7814,3
