duration,protocol_type,service,src_bytes,dst_bytes,flag,wrong_fragment,hot,failed_logins,count,srv_count,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate
4.5072,0,1,536.8869,301.9595,0,0.0,4.0,2.0,107,55,0.9417,0.0247,195,0.7352
6.5971,0,1,543.6511,315.6764,0,0.0,3.0,2.0,45,93,0.9618,0.0123,111,0.7417
0.7552,1,1,24.328,17.5973,3,0.0,0.0,0.0,266,4,0.1017,0.826,3,0.1694
3.6533,0,0,2859.5929,814.6812,0,0.0,0.0,0.0,12,9,0.8524,0.0253,93,0.887
0.2759,0,0,47.786,7.0244,1,3.0,0.0,0.0,290,455,0.8606,0.0945,37,0.1329
1.5949,0,2,438.1498,281.4336,0,0.0,5.0,3.0,46,57,0.8296,0.0491,161,0.8301
0.5483,0,1,238.3255,377.723,0,0.0,2.0,7.0,62,46,0.9718,0.0279,56,0.933
3.5944,0,0,1098.2728,3766.1614,1,0.0,0.0,0.0,8,13,0.8941,0.0923,75,0.7445
0.3482,0,0,89.8983,4.4206,1,0.0,0.0,0.0,309,345,0.9135,0.0051,49,0.2243
1.966,1,3,1461.3718,2536.1991,0,0.0,0.0,0.0,13,11,0.8846,0.068,109,0.8369
0.3354,0,0,107.0883,6.8177,1,0.0,0.0,0.0,276,240,0.9832,0.013,45,0.2262
0.2917,0,0,55.4483,2.6691,1,0.0,0.0,0.0,308,227,0.9502,0.0669,9,0.2113
4.3394,0,3,575.5976,5513.1553,0,0.0,0.0,0.0,15,7,0.8163,0.0613,172,0.73
4.3609,0,3,736.719,6235.6406,0,0.0,0.0,0.0,13,8,0.8004,0.0357,238,0.7899
1.1183,1,3,63.8098,9.5389,0,0.0,0.0,0.0,161,6,0.2178,0.9745,19,0.089
1.7169,0,1,256.9121,732.7924,0,0.0,2.0,5.0,124,80,0.963,0.0215,48,0.6881
1.0549,0,1,21.8011,13.1421,0,0.0,0.0,0.0,228,5,0.1266,0.9408,22,0.1856
0.616,0,4,7.1437,5.9419,1,0.0,0.0,0.0,135,10,0.23,0.8284,1,0.0402
